document_id,claim_id,split,document_type,available,filename,sha256,source,is_duplicate_hash
DOC-CLM-282343-Serial_Number_Evidence,CLM-282343,train,Serial Number Evidence,True,serial_number_evidence_CLM-282343.png,9307dedb7d88c9368b1774819ca6886044432034c4581012e0c57fa93de1885e,synthetic-manifest,False
DOC-CLM-282343-Fault_Evidence,CLM-282343,train,Fault Evidence,True,fault_evidence_CLM-282343.png,4959b1f7c0b4c31b12cd3dc661387186d1e8672797b6f104245379c890d101b6,synthetic-manifest,False
DOC-CLM-282343-Repair_Report,CLM-282343,train,Repair Report,True,repair_report_CLM-282343.png,3f9414838021312937f28cf2d5f88ee9378e900711de2f7eb593ea35aa0e42e1,synthetic-manifest,False
DOC-CLM-950717-Purchase_Receipt,CLM-950717,train,Purchase Receipt,True,purchase_receipt_CLM-950717.pdf,680045c27f96f8e16fe6f4fd26ea12633b5785389c00c8d56bb407488b3405f6,synthetic-manifest,False
DOC-CLM-950717-Warranty_Card,CLM-950717,train,Warranty Card,True,warranty_card_CLM-950717.png,ca9f5584430972a8438ed819504d5a83af6bfecb60abdd545199742b075095dc,synthetic-manifest,False
DOC-CLM-950717-Product_Image,CLM-950717,train,Product Image,True,product_image_CLM-950717.png,19fa53ae4c1041d275f222ae7671fb786f67c1966c9e958cf5b9889d6249ec1c,synthetic-manifest,False
DOC-CLM-950717-Serial_Number_Evidence,CLM-950717,train,Serial Number Evidence,True,serial_number_evidence_CLM-950717.png,3907085f180b676e60b0aefa21d285a4cdbcc7a9d2f8319a5e128830e0c0bd1a,synthetic-manifest,False
DOC-CLM-950717-Fault_Evidence,CLM-950717,train,Fault Evidence,True,fault_evidence_CLM-950717.png,987e257bd30aa06b6bae9652e1ddccb325acd22bd2e9a5979141c11f39b0e1d5,synthetic-manifest,False
DOC-CLM-950717-Repair_Report,CLM-950717,train,Repair Report,True,repair_report_CLM-950717.png,b3c0c801ad66ca8a078171b65e02ac90804bcc551be8d869a6673e248e4e5402,synthetic-manifest,False
DOC-CLM-133629-Purchase_Receipt,CLM-133629,train,Purchase Receipt,True,purchase_receipt_CLM-133629.pdf,8f90a767ad084264d4dae2a72d91fcb00f87f17813293470d05646ccb0688d7f,synthetic-manifest,False
DOC-CLM-133629-Warranty_Card,CLM-133629,train,Warranty Card,True,warranty_card_CLM-133629.png,df98d00e991e05b8a47f1417c29d06a158d5afb18b80abedfe66b4f19e1132b2,synthetic-manifest,False
DOC-CLM-133629-Product_Image,CLM-133629,train,Product Image,True,product_image_CLM-133629.png,12d4df49c38f17551f42a093d04611b08207971b2bcea0ad7e7b57e40a4e6c22,synthetic-manifest,False
DOC-CLM-133629-Serial_Number_Evidence,CLM-133629,train,Serial Number Evidence,True,serial_number_evidence_CLM-133629.png,5d01a3f20c2980b36528994263a742f44f2ad7897eec9cb7d509c22bb35aa102,synthetic-manifest,False
DOC-CLM-133629-Fault_Evidence,CLM-133629,train,Fault Evidence,True,fault_evidence_CLM-133629.png,d23f5812ca13c494eaebb30085c7f41c68204e0a504bf8669fc4b64efb746c09,synthetic-manifest,False
DOC-CLM-133629-Repair_Report,CLM-133629,train,Repair Report,True,repair_report_CLM-133629.png,0961c4e0b33e90ef1f9def7e7df56354ece1adf88443eda63056680a7c740730,synthetic-manifest,False
DOC-CLM-240957-Purchase_Receipt,CLM-240957,train,Purchase Receipt,True,purchase_receipt_CLM-240957.pdf,00c4f613064d06d432e9340ae0c3d5fe6745dd4b1b22881f5776de08e5502859,synthetic-manifest,True
DOC-CLM-240957-Warranty_Card,CLM-240957,train,Warranty Card,True,warranty_card_CLM-240957.png,26bcd0f35b74baa1e83a6bbe18dcfff16366c482db79b19bd9580e128253eb1b,synthetic-manifest,True
DOC-CLM-240957-Product_Image,CLM-240957,train,Product Image,True,product_image_CLM-240957.png,b6f920a99ff498d888fbf6ae6a10d6b17689159c3c8235b1c965477515a177b0,synthetic-manifest,True
DOC-CLM-240957-Serial_Number_Evidence,CLM-240957,train,Serial Number Evidence,True,serial_number_evidence_CLM-240957.png,fddd3e443c4844efdc8ffb9c15627a942196f214facac53ded510393ca72d859,synthetic-manifest,True
DOC-CLM-240957-Fault_Evidence,CLM-240957,train,Fault Evidence,True,fault_evidence_CLM-240957.png,af38b19efe148f1dab4f70f52a2a10b3cf243315871883ab255e0eff44ecfa76,synthetic-manifest,True
DOC-CLM-240957-Repair_Report,CLM-240957,train,Repair Report,True,repair_report_CLM-240957.png,ec44d8ee1ffead7e50149c83a3847d61abd2f9cb7fcc38128c72dab80500f483,synthetic-manifest,True
DOC-CLM-931975-Purchase_Receipt,CLM-931975,train,Purchase Receipt,True,purchase_receipt_CLM-931975.pdf,0a7c4ed8da480c9d5355d0666146d22e75d5db34e6d9b69087d1a5f2b5357a62,synthetic-manifest,True
DOC-CLM-931975-Warranty_Card,CLM-931975,train,Warranty Card,True,warranty_card_CLM-931975.png,21084b91cecf4b2d88d8a18638a126dd1ecc6fb56a64d6315fe3dd986c5debe5,synthetic-manifest,True
DOC-CLM-931975-Product_Image,CLM-931975,train,Product Image,True,product_image_CLM-931975.png,ffed91dcc640f199a8496115a69efdb23ddd8db25f5c592d9720fb6828753fff,synthetic-manifest,True
DOC-CLM-931975-Serial_Number_Evidence,CLM-931975,train,Serial Number Evidence,True,serial_number_evidence_CLM-931975.png,5d153cfc6a18d7e9828a0bab7f49d408768bd77c999b398cb9ae966b0269a6d8,synthetic-manifest,True
DOC-CLM-931975-Fault_Evidence,CLM-931975,train,Fault Evidence,True,fault_evidence_CLM-931975.png,e1bf5f8dbaa3986eed72e0e81a42a2df511d548ef50b49be8cc3572cdb09343e,synthetic-manifest,True
DOC-CLM-931975-Repair_Report,CLM-931975,train,Repair Report,True,repair_report_CLM-931975.png,95d71af55cdca8bffe6dca49a794db40c0570e2a6d3e2ebfc7c39ab4320ca0ba,synthetic-manifest,True
DOC-CLM-990272-Purchase_Receipt,CLM-990272,train,Purchase Receipt,True,purchase_receipt_CLM-990272.pdf,0e39996bc93fbbb8b9425e2a77a53e86539b673caaa4ce0f64af2c4f3176a3c2,synthetic-manifest,False
DOC-CLM-990272-Warranty_Card,CLM-990272,train,Warranty Card,True,warranty_card_CLM-990272.png,192a6f7f80760bdd9c049b564685e4465e8d9680205ee34dbadfe75e4b0b2f9a,synthetic-manifest,False
DOC-CLM-990272-Product_Image,CLM-990272,train,Product Image,True,product_image_CLM-990272.png,c8fc82841e3698460826162d2832f4f0be9ab419e927713cf8115c8edcbf4a7a,synthetic-manifest,False
DOC-CLM-990272-Serial_Number_Evidence,CLM-990272,train,Serial Number Evidence,True,serial_number_evidence_CLM-990272.png,c002cb5db3684af591dbcb9bf73807c395565ee426d6f790810738726083cdc0,synthetic-manifest,False
DOC-CLM-990272-Fault_Evidence,CLM-990272,train,Fault Evidence,True,fault_evidence_CLM-990272.png,7799175402dc884f9e48f4d6fdb023afa3116d7ef90d4eb170040ab37ad090c9,synthetic-manifest,False
DOC-CLM-990272-Repair_Report,CLM-990272,train,Repair Report,True,repair_report_CLM-990272.png,817bc2efd3755767613e2ee9521978660072d27f66a34b082cfce27306afd17f,synthetic-manifest,False
DOC-CLM-979007-Purchase_Receipt,CLM-979007,train,Purchase Receipt,True,purchase_receipt_CLM-979007.pdf,45f241c81404fe6c13bbfe440effc10ae9cf4931ee213127c68ddf41fd797794,synthetic-manifest,False
DOC-CLM-979007-Warranty_Card,CLM-979007,train,Warranty Card,True,warranty_card_CLM-979007.png,1e911a2e186a1d521b55a70357a917dcd1cf0d1ed50fdd3d1e86fe12aff957f9,synthetic-manifest,False
DOC-CLM-979007-Product_Image,CLM-979007,train,Product Image,True,product_image_CLM-979007.png,cd32d65027ddaeb8678c23c3ab018e7e39034a6868423d6828c20c0def1f8e21,synthetic-manifest,False
DOC-CLM-979007-Serial_Number_Evidence,CLM-979007,train,Serial Number Evidence,True,serial_number_evidence_CLM-979007.png,0baa94d06adecb55299db7d812e588d7b4ed76f4eb0bb170640ba2a3503ccf86,synthetic-manifest,False
DOC-CLM-979007-Fault_Evidence,CLM-979007,train,Fault Evidence,True,fault_evidence_CLM-979007.png,784b8d084d6837e67076fe5b453ede3c66e462a822e787fdc73e66073c5c471b,synthetic-manifest,False
DOC-CLM-979007-Repair_Report,CLM-979007,train,Repair Report,True,repair_report_CLM-979007.png,e17ba5ac46c66bac80f15ecacd4ce0bc2c59f21f76fcee1026a606af47472606,synthetic-manifest,False
DOC-CLM-234223-Purchase_Receipt,CLM-234223,train,Purchase Receipt,True,purchase_receipt_CLM-234223.pdf,33db44c1a6121a6ad9d0dd94bae592d591034200f690cb394e5c5334a2417d80,synthetic-manifest,False
DOC-CLM-234223-Warranty_Card,CLM-234223,train,Warranty Card,True,warranty_card_CLM-234223.png,b1b1c23748ba605bb4d5f369d28fe04a349040f83164dc788544d668b6a73a02,synthetic-manifest,False
DOC-CLM-234223-Product_Image,CLM-234223,train,Product Image,True,product_image_CLM-234223.png,fa01d32fd7d267889de7efb6804c6a89ec4a6db49ac260c6996b7b3d98a9de3f,synthetic-manifest,False
DOC-CLM-234223-Serial_Number_Evidence,CLM-234223,train,Serial Number Evidence,True,serial_number_evidence_CLM-234223.png,f3cd2f8faa4a74edb4ec2918f08907e105925cdbc9384c34c3a14658eb60e343,synthetic-manifest,False
DOC-CLM-234223-Fault_Evidence,CLM-234223,train,Fault Evidence,True,fault_evidence_CLM-234223.png,cc4b83c7b8bfc13d458b1753dbafe38337244bdaa19456745126f898aa7dbc4c,synthetic-manifest,False
DOC-CLM-234223-Repair_Report,CLM-234223,train,Repair Report,True,repair_report_CLM-234223.png,3e2de908b14fb149edc879b1d2fd992a804546926f98facc56f996a7b8b71384,synthetic-manifest,False
DOC-CLM-240131-Purchase_Receipt,CLM-240131,test,Purchase Receipt,True,purchase_receipt_CLM-240131.pdf,8849d42efba38f703371f3894a9236437a4875db83105d7ef22fea589dc3393c,synthetic-manifest,False
DOC-CLM-240131-Warranty_Card,CLM-240131,test,Warranty Card,True,warranty_card_CLM-240131.png,1efdb4672563f869868f25226433fbbbb735021ef41fb4db84dd9a3a27748e54,synthetic-manifest,False
DOC-CLM-240131-Product_Image,CLM-240131,test,Product Image,True,product_image_CLM-240131.png,e1d6d42e0bff0c8a56591cdd620d70af23c1053743bbfceabc0b6a044e7de38f,synthetic-manifest,False
DOC-CLM-240131-Serial_Number_Evidence,CLM-240131,test,Serial Number Evidence,True,serial_number_evidence_CLM-240131.png,c9e0bbb787fe06c333bfffd247155e2b72f99b1c95fd4555863e35d2bde3c757,synthetic-manifest,False
DOC-CLM-240131-Fault_Evidence,CLM-240131,test,Fault Evidence,True,fault_evidence_CLM-240131.png,dd7fb1973cf6b539666caecbab26292309319ed75f09f3ab97d8f62e1e35fc8f,synthetic-manifest,False
DOC-CLM-240131-Repair_Report,CLM-240131,test,Repair Report,True,repair_report_CLM-240131.png,ca4d08da63736f3bc6a7a0fe9f66311266a76864a2b7cf2716920e918d7ea82f,synthetic-manifest,False
DOC-CLM-813083-Purchase_Receipt,CLM-813083,train,Purchase Receipt,True,purchase_receipt_CLM-813083.pdf,a4dee2caec6f96c3f305ea5ffca9f88315565861f99548d41418544ac3885d64,synthetic-manifest,False
DOC-CLM-813083-Warranty_Card,CLM-813083,train,Warranty Card,True,warranty_card_CLM-813083.png,defd1bfecfca26f0981de0bdc42ce7a1e6dbbe04634235670fdfd5c55dc3c7af,synthetic-manifest,False
DOC-CLM-813083-Product_Image,CLM-813083,train,Product Image,True,product_image_CLM-813083.png,4d41a2e7674f33e715838f9285e0f781d1f9515035a42d57255c76bdd80840da,synthetic-manifest,False
DOC-CLM-813083-Serial_Number_Evidence,CLM-813083,train,Serial Number Evidence,True,serial_number_evidence_CLM-813083.png,a1b8efff97be1e45794bb74452a3a222bc6aea9349488a9afd83b0474572f616,synthetic-manifest,False
DOC-CLM-813083-Fault_Evidence,CLM-813083,train,Fault Evidence,True,fault_evidence_CLM-813083.png,55225de085497df197a343964cd7f24902d88d36e449ffaa450be1e44d186331,synthetic-manifest,False
DOC-CLM-813083-Repair_Report,CLM-813083,train,Repair Report,True,repair_report_CLM-813083.png,1770961222139a95e5707e1bd8b95706f65deb8e31444b1814fcc1ea90d05528,synthetic-manifest,False
DOC-CLM-832900-Purchase_Receipt,CLM-832900,validation,Purchase Receipt,True,purchase_receipt_CLM-832900.pdf,0768b204ffe79b55ce3727b433e64c8f618b2475c584422a208093cd413272b7,synthetic-manifest,True
DOC-CLM-832900-Warranty_Card,CLM-832900,validation,Warranty Card,True,warranty_card_CLM-832900.png,68aae066aa60851781968f9c056bf87fc830b38eb32bf37e556f959d1969c1b6,synthetic-manifest,True
DOC-CLM-832900-Product_Image,CLM-832900,validation,Product Image,True,product_image_CLM-832900.png,16a1f26e57ec057ed89a6cf24d82fd1dc3f7e31ec58d352c7ae07995a497ada4,synthetic-manifest,True
DOC-CLM-832900-Serial_Number_Evidence,CLM-832900,validation,Serial Number Evidence,True,serial_number_evidence_CLM-832900.png,e66ff84ef77cc2582e9c58cd126d522757b69744509f03ea0724087ddb959b24,synthetic-manifest,True
DOC-CLM-832900-Fault_Evidence,CLM-832900,validation,Fault Evidence,True,fault_evidence_CLM-832900.png,592e23c00e63a5b6497cc8be40756794683d0f25ad16be1981e742d5251f54b0,synthetic-manifest,True
DOC-CLM-832900-Repair_Report,CLM-832900,validation,Repair Report,True,repair_report_CLM-832900.png,db10d996b17ab816ef8909a37192594f3535f779ad20014e62870b5cb0445b9c,synthetic-manifest,True
DOC-CLM-330875-Purchase_Receipt,CLM-330875,train,Purchase Receipt,True,purchase_receipt_CLM-330875.pdf,f74bc478e7c90baed7a4c41881cb82b306a7741dc391143817042393f4ef2c02,synthetic-manifest,False
DOC-CLM-330875-Warranty_Card,CLM-330875,train,Warranty Card,True,warranty_card_CLM-330875.png,9dc5db8d0d24acf7565e6f2d61ed9805f8c86a3af295057914e11f7f5ad72633,synthetic-manifest,False
DOC-CLM-330875-Product_Image,CLM-330875,train,Product Image,True,product_image_CLM-330875.png,82f8e29a97f0d75f4854b5e1ffc95b5b36b317c456488b5826bf79729735ab82,synthetic-manifest,False
DOC-CLM-330875-Serial_Number_Evidence,CLM-330875,train,Serial Number Evidence,True,serial_number_evidence_CLM-330875.png,68540589bfd5f72d50ba80ab54bb0592d95d5f685d204079eb5a4814348509fa,synthetic-manifest,False
DOC-CLM-330875-Fault_Evidence,CLM-330875,train,Fault Evidence,True,fault_evidence_CLM-330875.png,ed759d5aa5094373283081d230cc0e65de411db8b0568973efb638115ae46689,synthetic-manifest,False
DOC-CLM-330875-Repair_Report,CLM-330875,train,Repair Report,True,repair_report_CLM-330875.png,2ca8d979cba91aaa08423957ba013f90d2f5140f0880b30a640fc994832b8186,synthetic-manifest,False
DOC-CLM-381715-Purchase_Receipt,CLM-381715,train,Purchase Receipt,True,purchase_receipt_CLM-381715.pdf,87a477d1705b9796f966628ec67ba7d252e0d9922f258155ad27e402153f8661,synthetic-manifest,False
DOC-CLM-381715-Warranty_Card,CLM-381715,train,Warranty Card,True,warranty_card_CLM-381715.png,853907d74509102745cd84a85f97fe23c16487bacaf29b1465a189b9a4e8a839,synthetic-manifest,False
DOC-CLM-381715-Product_Image,CLM-381715,train,Product Image,True,product_image_CLM-381715.png,144923366098139e37cf0975f96c6edb167a152d0fe331c937f3e2dea828aedd,synthetic-manifest,False
DOC-CLM-381715-Serial_Number_Evidence,CLM-381715,train,Serial Number Evidence,True,serial_number_evidence_CLM-381715.png,ff26ad23fab4712d66a64e1121c24c4ecd73281fb2c216fc3550bf44d821f2bc,synthetic-manifest,False
DOC-CLM-381715-Fault_Evidence,CLM-381715,train,Fault Evidence,True,fault_evidence_CLM-381715.png,9632db3486949118c127383ed8694a15f0551a2c56cac3bc42d9ab12d6206fad,synthetic-manifest,False
DOC-CLM-381715-Repair_Report,CLM-381715,train,Repair Report,True,repair_report_CLM-381715.png,dd5e32ec5bd0f4eb22b145364a599033af5410f9b2db62f050cc6eeb379fdb51,synthetic-manifest,False
DOC-CLM-743530-Purchase_Receipt,CLM-743530,train,Purchase Receipt,True,purchase_receipt_CLM-743530.pdf,3c2f0d0d00199ab13c0434db6ba80b77262cd0f05d511c598218efdc18dc9def,synthetic-manifest,False
DOC-CLM-743530-Warranty_Card,CLM-743530,train,Warranty Card,True,warranty_card_CLM-743530.png,19d77288c94e2637ea9d9fe4ac350aa1ded9609c0ee02d4efe13911364054743,synthetic-manifest,False
DOC-CLM-743530-Product_Image,CLM-743530,train,Product Image,True,product_image_CLM-743530.png,7fad1428945c407d810932eb3a41bdab36f8cc80643db2c006b44cffb440c913,synthetic-manifest,False
DOC-CLM-743530-Serial_Number_Evidence,CLM-743530,train,Serial Number Evidence,True,serial_number_evidence_CLM-743530.png,a141042e62e419fecd129edde2f51d3381542345d2a225abce9d1637576c403f,synthetic-manifest,False
DOC-CLM-743530-Fault_Evidence,CLM-743530,train,Fault Evidence,True,fault_evidence_CLM-743530.png,8651365a6e9942e8e0e5b382f8ccec66bc7d2b413e5dd4e5d3077189251bcaad,synthetic-manifest,False
DOC-CLM-743530-Repair_Report,CLM-743530,train,Repair Report,True,repair_report_CLM-743530.png,00cc4311f7ea1b35002c4aa6a4b5d22a0923ca346653ecba54b60f3280aacc46,synthetic-manifest,False
DOC-CLM-716964-Purchase_Receipt,CLM-716964,test,Purchase Receipt,True,purchase_receipt_CLM-716964.pdf,b24f7f911860431e1af9bb67a50aca8b6a428324965b9310f67463e3f0483b0c,synthetic-manifest,False
DOC-CLM-716964-Warranty_Card,CLM-716964,test,Warranty Card,True,warranty_card_CLM-716964.png,b6af3a6824f3b22835b55d255ced3b9044012acdbc045ad4089d1e1967261a05,synthetic-manifest,False
DOC-CLM-716964-Product_Image,CLM-716964,test,Product Image,True,product_image_CLM-716964.png,b9b1ae6584a9627a90a9dc2a26d191f33cbf176e73a5c6319aecf30485f1b27f,synthetic-manifest,False
DOC-CLM-716964-Serial_Number_Evidence,CLM-716964,test,Serial Number Evidence,True,serial_number_evidence_CLM-716964.png,c5abf189dea149d58fb34cf9e4396031724cd27c31f381318bf05c372d7ea6c6,synthetic-manifest,False
DOC-CLM-716964-Fault_Evidence,CLM-716964,test,Fault Evidence,True,fault_evidence_CLM-716964.png,44a1a66a3f312b77abf921a76aa719c908e40a175a27b3fb5a9e0dfe992d773c,synthetic-manifest,False
DOC-CLM-716964-Repair_Report,CLM-716964,test,Repair Report,True,repair_report_CLM-716964.png,4d58bf0b70f4addb3111c946456a8101cad2b1636e257565a3f31702121022b5,synthetic-manifest,False
DOC-CLM-670653-Purchase_Receipt,CLM-670653,train,Purchase Receipt,True,purchase_receipt_CLM-670653.pdf,c9d8a7ef5d1b07065342c2a15a0623e5c5ff4c660101250ce1de3f1c1fd8ae77,synthetic-manifest,False
DOC-CLM-670653-Warranty_Card,CLM-670653,train,Warranty Card,True,warranty_card_CLM-670653.png,e26748e3bdbbbdfd8c5585c9f2d869a19b74b1e1b3b3e3f61d89ab0ec92d4c2e,synthetic-manifest,False
DOC-CLM-670653-Product_Image,CLM-670653,train,Product Image,True,product_image_CLM-670653.png,08b2f6dfa340e936d8c8cd81f2b80a6097c285b22bec6575ef3973cf89e16558,synthetic-manifest,False
DOC-CLM-670653-Serial_Number_Evidence,CLM-670653,train,Serial Number Evidence,True,serial_number_evidence_CLM-670653.png,775aa2c740793b735682116f324b1d4b8a779266ca27d8c0d220680aefdfc8ab,synthetic-manifest,False
DOC-CLM-670653-Fault_Evidence,CLM-670653,train,Fault Evidence,True,fault_evidence_CLM-670653.png,2f0560aaf91a88063d1848f173b0d333c936fa69fbdffb6390e1082648bf2d93,synthetic-manifest,False
DOC-CLM-670653-Repair_Report,CLM-670653,train,Repair Report,True,repair_report_CLM-670653.png,889d59926b2b703b0cf5a94923416e2a3d12d08193c1fd9168570069c05b5a6b,synthetic-manifest,False
DOC-CLM-141542-Purchase_Receipt,CLM-141542,train,Purchase Receipt,True,purchase_receipt_CLM-141542.pdf,a4ba98a99ad68da7a9364ae4783fbeaca52e8ddd71ee94aea690107e6732490e,synthetic-manifest,False
DOC-CLM-141542-Warranty_Card,CLM-141542,train,Warranty Card,True,warranty_card_CLM-141542.png,eab0d8b89ba40bc8e641dab7519908bb90ffda343c7193d069bd47392f694dcf,synthetic-manifest,False
DOC-CLM-141542-Product_Image,CLM-141542,train,Product Image,True,product_image_CLM-141542.png,c71c4edbfd48e86346e54541a36a566e0e76ab63df92271bdedf258c990bdd2d,synthetic-manifest,False
DOC-CLM-141542-Serial_Number_Evidence,CLM-141542,train,Serial Number Evidence,True,serial_number_evidence_CLM-141542.png,bd7196d6b9e750002526614dbdc5c1e8f6f108325130cdfa5496c49c4ad4cd4e,synthetic-manifest,False
DOC-CLM-141542-Fault_Evidence,CLM-141542,train,Fault Evidence,True,fault_evidence_CLM-141542.png,014fcdc42d8355d57d4ee77d7a8030be186783735685f8a132078b50e6e37819,synthetic-manifest,False
DOC-CLM-141542-Repair_Report,CLM-141542,train,Repair Report,True,repair_report_CLM-141542.png,4e03cf89b842bb99432ba64ff48bd90ea60b7a30c529e839d933f11897885825,synthetic-manifest,False
DOC-CLM-175885-Purchase_Receipt,CLM-175885,train,Purchase Receipt,True,purchase_receipt_CLM-175885.pdf,4728cd8aa34adb85379fb16e838ad0924a3eae477f4538dadfe17eeec1edc9dd,synthetic-manifest,False
DOC-CLM-175885-Warranty_Card,CLM-175885,train,Warranty Card,True,warranty_card_CLM-175885.png,f00c8898b42975982092b0c4964cd0d4df40d9437ff3d6ac522674b9b78f7c9a,synthetic-manifest,False
DOC-CLM-175885-Product_Image,CLM-175885,train,Product Image,True,product_image_CLM-175885.png,6e823db896b732ee291c28c93da3307a9bd4b8566fb6afcd264a7576fbc266ca,synthetic-manifest,False
DOC-CLM-175885-Serial_Number_Evidence,CLM-175885,train,Serial Number Evidence,True,serial_number_evidence_CLM-175885.png,6a75d09906ff5d5ecb84f5a0dbe7ed7d4770f9448c1eea78b23db53d59e7d6c2,synthetic-manifest,False
